batch_id,proposal_count,entropy_domain_count,accepted_count,accepted_fraction,minimum_accepted_margin
251,262144,262144,42,0.00016021728515625,0.001647535509156528
252,262144,262144,46,0.00017547607421875,0.00045589715939176045
253,262144,262144,51,0.000194549560546875,5.9420089473682935e-05
254,262144,262144,53,0.000202178955078125,0.0006769829169184227
255,262144,262144,60,0.0002288818359375,0.0003683488468253504
256,262144,262144,55,0.000209808349609375,3.7571575354444775e-05
257,262144,262144,67,0.000255584716796875,9.689340285135017e-05
258,262144,262144,72,0.000274658203125,0.000334466080217366
259,262144,262144,57,0.000217437744140625,9.399184467207e-05
260,262144,262144,70,0.00026702880859375,0.0003290919219713917
261,262144,262144,50,0.00019073486328125,0.0001522822172144167
262,262144,262143,49,0.000186920166015625,0.0007615397694069603
263,262144,262144,48,0.00018310546875,0.000406630020039378
264,262144,262144,63,0.000240325927734375,6.668939861675938e-06
265,262144,262144,38,0.00014495849609375,9.280670458711171e-05
266,262144,262144,67,0.000255584716796875,9.102262460802812e-05
267,262144,262144,60,0.0002288818359375,0.0008090330984935612
268,262144,262144,51,0.000194549560546875,0.0005770245033367427
269,262144,262144,59,0.000225067138671875,5.344835127529812e-05
270,262144,262144,46,0.00017547607421875,0.0003459182136380523
271,262144,262144,64,0.000244140625,0.0009140415039179395
272,262144,262144,47,0.000179290771484375,2.295110582606341e-05
273,262144,262144,56,0.000213623046875,0.0014912718181239182
274,262144,262144,66,0.00025177001953125,0.0001472094292833681
275,262144,262144,61,0.000232696533203125,0.0004026798302307899
276,262144,262144,49,0.000186920166015625,0.00046945450081237183
277,262144,262144,46,0.00017547607421875,0.0015888137094237642
278,262144,262144,61,0.000232696533203125,0.0002419786503951027
279,262144,262144,51,0.000194549560546875,0.00039953156301120174
280,262144,262144,60,0.0002288818359375,0.00037519474515224083
281,262144,262144,50,0.00019073486328125,4.582021875210174e-05
282,262144,262144,56,0.000213623046875,6.121827850980033e-05
283,262144,262144,52,0.0001983642578125,3.012157459814091e-05
284,262144,262144,55,0.000209808349609375,0.0005562045913132252
285,262144,262144,57,0.000217437744140625,7.971141529861114e-05
286,262144,262144,46,0.00017547607421875,0.0005741336575282308
287,262144,262144,40,0.000152587890625,6.23494772526989e-05
288,262144,262144,47,0.000179290771484375,6.774309575252602e-05
289,262144,262144,62,0.00023651123046875,3.300416208928958e-05
290,262144,262144,65,0.000247955322265625,0.00015578353235401465
291,262144,262144,60,0.0002288818359375,0.00023666732912652755
292,262144,262144,45,0.000171661376953125,9.172464673068426e-05
293,262144,262144,49,0.000186920166015625,0.00025222243463463023
294,262144,262144,41,0.000156402587890625,0.0005257336948005786
295,262144,262144,44,0.0001678466796875,0.0002401514293108864
296,262144,262144,64,0.000244140625,7.340636949093593e-05
297,262144,262144,67,0.000255584716796875,7.299667967997081e-05
298,262144,262144,59,0.000225067138671875,1.595336410575854e-05
299,262144,262144,54,0.00020599365234375,0.00015088602936241813
300,262144,262144,58,0.00022125244140625,0.00019409151123350732
301,262144,262144,58,0.00022125244140625,0.0002379600618120925
302,262144,262144,65,0.000247955322265625,0.00017408134114815788
303,262144,262144,43,0.000164031982421875,0.001137112000444862
304,262144,262144,59,0.000225067138671875,0.0006004576136400264
305,262144,262144,51,0.000194549560546875,0.00037369865900216404
306,262144,262144,56,0.000213623046875,7.239281865367708e-05
307,262144,262144,78,0.00029754638671875,7.321033582874392e-05
308,262144,262144,58,0.00022125244140625,0.00031979231331180635
309,262144,262144,56,0.000213623046875,0.0006120935453239884
310,262144,262144,62,0.00023651123046875,0.00036462936216419273
311,262144,262144,61,0.000232696533203125,9.403447697375888e-05
312,262144,262144,47,0.000179290771484375,4.60078774215944e-05
313,262144,262144,55,0.000209808349609375,0.00021679409301356145
314,262144,262144,57,0.000217437744140625,0.00042035260365747007
315,262144,262144,66,0.00025177001953125,0.00016940823052435938
316,262144,262144,66,0.00025177001953125,0.00024729369891418607
317,262144,262144,59,0.000225067138671875,0.00041086170559800905
318,262144,262144,40,0.000152587890625,0.0004507708703140878
319,262144,262144,60,0.0002288818359375,0.0001873649565686808
320,262144,262144,50,0.00019073486328125,0.0005203825685047292
321,262144,262144,57,0.000217437744140625,0.0008986138059401405
322,262144,262144,65,0.000247955322265625,0.0004240499403536102
323,262144,262144,46,0.00017547607421875,2.0867630281751204e-05
324,262144,262144,52,0.0001983642578125,0.0001579555905022456
325,262144,262144,58,0.00022125244140625,0.00047879689446128637
326,262144,262144,41,0.000156402587890625,0.0008261102392272957
327,262144,262144,53,0.000202178955078125,0.00024044410024370855
328,262144,262144,62,0.00023651123046875,0.0002073406384301979
329,262144,262144,50,0.00019073486328125,0.0006950363797755266
330,262144,262144,57,0.000217437744140625,0.00018308420260604308
331,262144,262144,63,0.000240325927734375,0.00030968182637258757
332,262144,262144,50,0.00019073486328125,2.4538678093710686e-05
333,262144,262144,67,0.000255584716796875,0.0008074830126516552
334,262144,262144,57,0.000217437744140625,7.912510682439589e-06
335,262144,262144,44,0.0001678466796875,0.0005215457066989337
336,262144,262144,50,0.00019073486328125,5.83669510838547e-05
337,262144,262144,60,0.0002288818359375,0.001811174761489509
338,262144,262144,70,0.00026702880859375,0.00028060294120879625
339,262144,262144,47,0.000179290771484375,0.0005592205320088528
340,262144,262144,78,0.00029754638671875,4.3647930530354984e-05
341,262144,262144,52,0.0001983642578125,0.0008589256718443128
342,262144,262144,50,0.00019073486328125,0.00040543938386128353
343,262144,262144,54,0.00020599365234375,0.00023906113194849254
344,262144,262144,53,0.000202178955078125,6.214478791566336e-06
345,262144,262144,66,0.00025177001953125,3.150207589364129e-05
